,nb_de_pieces,superficie,carrez,prix,code_postal,id_local,id_type
228,6,109,False,312000,78570,191.0,0.0
229,4,84,False,399000,95410,523.0,5.0
230,3,56,False,389000,95880,511.0,5.0
231,3,54,False,255000,77600,36.0,0.0
232,6,130,False,410000,93150,417.0,5.0
233,4,78,False,325000,95480,542.0,5.0
234,9,240,False,988000,78500,272.0,5.0
235,1,17,False,212000,92200,403.0,0.0
236,1,21,False,81000,78550,235.0,0.0
237,7,134,False,480000,95100,490.0,5.0
238,4,67,False,232500,78200,202.0,0.0
239,5,110,False,375000,91470,337.0,5.0
240,5,117,False,870000,92600,381.0,0.0
241,5,116,False,292000,77310,31.0,5.0
242,7,250,False,619500,77270,184.0,5.0
243,4,83,False,270000,92600,381.0,0.0
244,5,161,False,596000,91220,357.0,5.0
245,7,167,False,595000,91440,307.0,5.0
246,5,105,False,396900,91480,358.0,5.0
247,6,131,False,460000,91700,361.0,5.0
248,6,136,False,450000,77680,142.0,5.0
249,6,102,False,395000,95460,515.0,5.0
250,5,124,False,398000,94190,485.0,5.0
251,6,130,False,465000,95500,521.0,5.0
252,5,113,False,470000,93200,439.0,5.0
253,12,427,False,1238000,94400,488.0,5.0
254,6,233,False,330000,77820,47.0,5.0
255,3,53,False,224000,93700,424.0,0.0
256,5,120,False,369900,91280,364.0,5.0
257,3,65,False,275000,93160,433.0,0.0
258,3,65,False,310000,78140,279.0,0.0
259,6,125,False,249000,77165,155.0,0.0
260,6,130,False,405000,91310,340.0,5.0
261,5,127,False,260000,77250,179.0,5.0
262,5,100,False,554000,93340,436.0,5.0
263,4,91,False,163000,77540,143.0,0.0
264,2,36,False,385000,75015,14.0,0.0
265,4,89,False,734000,93100,430.0,0.0
266,1,31,False,168000,91430,330.0,0.0
267,9,220,False,550000,91200,293.0,5.0
268,5,123,False,355000,77115,28.0,5.0
269,4,75,False,239000,77500,50.0,0.0
270,2,40,False,173000,77340,135.0,0.0
271,6,125,False,332000,91650,304.0,5.0
272,3,73,False,173000,95800,501.0,0.0
273,6,200,False,735000,77420,43.0,5.0
274,5,119,False,299900,91580,372.0,5.0
275,3,60,False,187000,95130,517.0,0.0
276,6,104,False,295000,91150,321.0,5.0
277,10,280,False,649000,78570,191.0,5.0
278,4,95,False,695000,94400,488.0,5.0
279,4,83,False,495000,75019,18.0,0.0
280,5,99,False,240000,77520,69.0,5.0
281,4,71,False,199000,77140,124.0,5.0
282,6,102,False,210000,77580,187.0,5.0
283,8,170,False,261000,77131,165.0,5.0
284,3,60,False,520000,92120,401.0,0.0
285,4,82,False,79000,77160,137.0,0.0
286,4,67,False,269900,94320,481.0,0.0
287,4,140,False,325000,77710,140.0,5.0
288,2,52,False,449000,92150,410.0,0.0
289,5,213,False,1300000,77100,108.0,5.0
290,3,64,False,315000,94600,457.0,0.0
291,4,82,False,433750,92700,390.0,0.0
292,6,175,False,575000,94440,482.0,5.0
293,3,53,False,255500,93700,424.0,0.0
294,4,93,False,990000,75016,15.0,5.0
295,4,79,False,1020000,75017,16.0,0.0
296,6,154,False,990000,92320,386.0,0.0
297,6,154,False,990000,92140,388.0,0.0
298,11,305,False,750000,95810,522.0,5.0
299,7,175,False,580000,91650,304.0,5.0
300,3,52,False,367200,92800,405.0,0.0
301,2,39,False,270000,93300,414.0,0.0
302,3,67,False,529380,92400,391.0,0.0
303,4,79,False,259000,95300,544.0,0.0
304,3,63,False,213000,92700,390.0,0.0
305,5,102,False,390000,95290,525.0,5.0
306,4,79,False,549000,78150,211.0,0.0
